objectid,subject,format,filename,CO_LOC_RES,NTEEC,NAICS,title,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,RULEDATE15,RULEDATE15,RULEMONTH,date,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP,GZIP5
8404200176,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,HISTORICAL SOCIETY OF PENNSLYVANIA,HISTORICAL SOCIETY OF PENNSLYVANIA,,,1300 LOCUST STREET,PHILADELPHIA,PA,1910,1910,,,,,,2157326200,,,,,,,,,,,,,-75.16272,39.94772,1300 LOCUST STREET,PHILADELPHIA,PA,1910,1910
8404200178,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A23,710000,JAPANESE HOUSE AND GARDEN,FRIENDS OF THE JAPANESE HOUSE AND GARDEN,,SHOFUSO JAPANESE HOUSE AND GARDEN,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,2158785097,HTTP://WWW.JAPANESEHOUSE.ORG,201312,4,239591,231476,5070 PARKSIDE AVENUE SUI,PHILADELPHIA,PA,198306,198306,06,1983,-75.21948,39.98278,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131
8404200187,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,FOUNDER'S HALL-STEPHEN GIRARD COLLECTION,FOUNDER'S HALL-STEPHEN GIRARD COLLECTION,,,2101 S COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,2101 SOUTH COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,2157872600,HTTP://WWW.GIRARDCOLLEGE.EDU/PAGE.CFM?P=1,,,,,,,,,,,,-75.17119,39.97523,2101 SOUTH COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121
8404200212,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,712190,HISTORIC BARTRAM'S GARDEN,JOHN BARTRAM ASSOCIATION,,,54TH STREET AND LINDBERGH BOULEVARD,PHILADELPHIA,PA,19143,19143,,,,,,2157295281,HTTP://BARTRAMSGARDEN.ORG/,201406,6,1749922,1396052,54TH LINDBERGH BLVD,PHILADELPHIA,PA,197502,197502,02,1975,-75.22507,39.94557,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,19143
8404200221,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,ELFRETH'S ALLEY ASSOCIATION,ELFRETH'S ALLEY ASSOCIATION,,,126 ELFRETHS ALLEY,PHILADELPHIA,PA,19106,19106,,,,,,2155740560,,,,,,,,,,,,,-75.14228,39.95263,126 ELFRETHS ALLEY,PHILADELPHIA,PA,19106,19106
8404200247,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,CARPENTER'S HALL,CARPENTER'S HALL,,,320 CHESTNUT STREET,PHILADELPHIA,PA,19106,19106,,,,,,2159250167,,,,,,,,,,,,,-75.14635,39.94858,320 CHESTNUT STREET,PHILADELPHIA,PA,19106,19106
8404200267,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,AMERICAN SWEDISH HISTORICAL MUSEUM,AMERICAN SWEDISH HISTORICAL MUSEUM,,,1900 PATTISON AVENUE,PHILADELPHIA,PA,19145,19145,,,,,,2153891776,,,,,,,,,,,,,-75.18187,39.90633,1900 PATTISON AVENUE,PHILADELPHIA,PA,19145,19145
8404200310,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712120,RED MONASTERY PROJECT,RED MONASTERY PROJECT INC,,,10 S LETITIA ST 203,PHILADELPHIA,PA,19106-3025,19106,,,,,,,,201312,2,11456,11456,10 SOUTH LETITIA ST APT,PHILADELPHIA,PA,200709,200709,09,2007,-75.14327,39.94937,10 SOUTH LETITIA ST APT,PHILADELPHIA,PA,19106-3025,19106
8404200397,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,OLDE FORT MIFFLIN HISTORICAL SOCIETY,OLDE FORT MIFFLIN HISTORICAL SOCIETY INC,,,4335 OSAGE AVE,PHILADELPHIA,PA,19104,19104,,,,,,,,201406,0,0,0,4335 OSAGE AVE,PHILADELPHIA,PA,198803,198803,03,1988,-75.21002,39.95098,4335 OSAGE AVE,PHILADELPHIA,PA,19104-3905,19104
8404200413,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712120,DESHLER MORRIS HOUSE,DESHLER MORRIS HOUSE COMMITTEE INC,,,5442 GERMANTOWN AVENUE,PHILADELPHIA,PA,19144-2224,19144,,,,,,,,201312,0,0,0,5442 GERMANTOWN AVE,PHILADELPHIA,PA,201201,201201,01,2012,-75.17284,40.03407,5442 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2224,19144
8404200419,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,712120,FORT MIFFLIN ON THE DELAWARE,FORT MIFFLIN ON THE DELAWARE,,,1 FORT MIFFLIN RD,PHILADELPHIA,PA,19153-3901,19153,82 FORT MIFFLIN ROAD,PHILADELPHIA,PA,19153-3901,19153,2156854167,HTTP://WWW.FORTMIFFLIN.US/,201311,4,241573,215722,1 FORT MIFFLIN RD,PHILADELPHIA,PA,198612,198612,12,1986,-75.21034,39.89344,82 FORT MIFFLIN ROAD,PHILADELPHIA,PA,19153-3901,19153
8404200424,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,,AMERICAN WOMENS HERITAGE SOCIETY,AMERICAN WOMENS HERITAGE SOCIETY,,,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,19131,,,,,,,HTTP://WWW.BELMONTMANSION.ORG,201306,4,123240,123240,2000 BELMONT MANSION DR,PHILADELPHIA,PA,198803,198803,03,1988,-75.21289,39.99183,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,19131
8404200437,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,HISTORICAL SOCIETY OF PENNSYLVANIA,HISTORICAL SOCIETY OF PENNSYLVANIA,HISTORICAL SOCIETY OF PENNSYLVANIA,,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,19107,,,,,,2157326200,HTTP://HSP.ORG/,201406,8,10143431,4300581,1300 LOCUST ST,PHILADELPHIA,PA,192812,192812,12,1928,-75.16272,39.94772,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,19107
8404200449,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A70,813920,AMERICAN PHILOSOPHICAL SOCIETY,AMERICAN PHILOSOPHICAL SOCIETY,,,104 S 5TH ST,PHILADELPHIA,PA,19106-3387,19106,,,,,,2154403440,HTTP://WWW.APSMUSEUM.ORG,201312,8,34172009,17265388,104 S 5TH ST,PHILADELPHIA,PA,193411,193411,11,1934,-75.14928,39.94898,104 S 5TH ST,PHILADELPHIA,PA,19106-3309,19106
8404200452,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,710000,GERMAN SOCIETY OF PENNSYLVANIA,GERMAN SOCIETY OF PENNSYLVANIA,,,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,19123,,,,,,2156272332,HTTP://WWW.GERMANSOCIETY.ORG,201406,5,737594,737594,611 SPRING GARDEN ST,PHILADELPHIA,PA,194607,194607,07,1946,-75.14833,39.96151,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,19123
8404200460,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,SWEETBRIAR MANSION,MODERN CLUB OF PHILADELPHIA INC SWEETBRIER MANSION,,MODERN CLUB OF PHILADELPHIA INC SWEETBRIER MANSION,1000 CONESTOGA RD APT C264,BRYN MAWR,PA,19010-1547,19010,1 SWEETBRIAR DRIVE,PHILADELPHIA,PA,19010-1547,19010,2152221333,HTTP://WWW.SCHUYLKILLRIVER.ORG/DETAIL.ASPX?ID=535,201403,1,3075,3075,1000 CONESTOGA RD APT C2,BRYN MAWR,PA,194601,194601,01,1946,-75.20062,39.97655,1 SWEETBRIAR DRIVE,PHILADELPHIA,PA,19010-1547,19010
8404200497,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A54,813110,GERMANTOWN MNNNITE HISTORIC TRUST,GERMANTOWN MENNONITE HISTORIC TRUST,,,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,19144,,,,,,2158430943,HTTP://WWW.MEETINGHOUSE.INFO/,,0,,,6133 GERMANTOWN AVE,PHILADELPHIA,PA,198406,198406,06,1984,-75.17927,40.04163,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,19144
8404200512,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,EBENEZER MAXWELL MANSION,EBENEZER MAXWELL MANSION INC,,,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,19144,,,,,,2154381861,HTTP://EBENEZERMAXWELLMANSION.ORG/,201312,0,0,0,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,197802,197802,02,1978,-75.18473,40.03689,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,19144
8404200659,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A50,,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,,239 ARCH ST,PHILADELPHIA,PA,19106-1915,19106,,,,,,2156861252,HTTP://HISTORICPHILADELPHIA.ORG/BETSY-ROSS-HOUSE/WHAT-TO-SEE/,,,,,,,,,,,,-75.14461,39.95228,239 ARCH ST,PHILADELPHIA,PA,19106-1915,19106
8404200692,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,BRIDESBURG HISTORICAL SOCIETY,BRIDESBURG HISTORICAL SOCIETY,,,2801 BRILL STREET,PHILADELPHIA,PA,19137,19137,,,,,,2157441674,,,,,,,,,,,,,-75.06376,40.00311,2801 BRILL STREET,PHILADELPHIA,PA,19137,19137
8404200699,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,813920,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS FOR THE THIRD CIRCUIT,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3R,,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3RD,615 CHESTNUT STREET PO BOX 40007,PHILADELPHIA,PA,19106,19106,,,,,,,,201412,0,0,0,601 MARKET STREET,PHILADELPHIA,PA,199109,199109,09,1991,-75.15037,39.95082,601 MARKET STREET,PHILADELPHIA,PA,19106-1729,19106
8404200707,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,HISTORIC ST PETERS CHURCH PRESERVATION CORP,HISTORIC ST PETERS CHURCH PRESERVATION CORP,,,313 PINE ST,PHILADELPHIA,PA,19106-4212,19106,,,,,,2159255968,HTTP://WWW.STPETERSPHILA.ORG,201312,6,1401073,1315124,313 PINE ST,PHILADELPHIA,PA,199203,199203,03,1992,-75.14769,39.94357,313 PINE ST,PHILADELPHIA,PA,19106-4212,19106
8404200718,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,B99,813110,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,,,4243 LANCASTER AVENUE,PHILADELPHIA,PA,19104-1470,19104,,,,,,,,201312,4,110915,110915,4243 LANCASTER AVE,PHILADELPHIA,PA,199308,199308,08,1993,-75.20876,39.96744,4243 LANCASTER AVE,PHILADELPHIA,PA,19104-1470,19104
8404200769,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712120,AFRICAN AMERICAN GENEALOGY GROUP,AFRICAN AMERICAN GENEALOGY GROUP,,,PO BOX 27356,PHILADELPHIA,PA,19118-0356,19118,,,,,,2155726063,HTTP://AAGG.BLACKHOUSECOLLECTIVE.COM/BLOG/,201406,0,0,0,PO BOX 27356,PHILADELPHIA,PA,200103,200103,03,2001,-75.20317,40.07268,PO BOX 27356,PHILADELPHIA,PA,19118-0356,19118
8404200785,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712110,JOHNSON HOUSE HISTORIC SITE,JOHNSON HOUSE HISTORIC SITE INC,,,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,19144,,,,,,2154381768,HTTP://WWW.JOHNSONHOUSE.ORG,201312,4,104478,104478,6306 GERMANTOWN AVE,PHILADELPHIA,PA,199702,199702,02,1997,-75.18142,40.04391,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,19144
8404200818,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,MARIAN ANDERSON HISTORICAL SOCIETY,MARIAN ANDERSON HISTORICAL SOCIETY,,,762 S MARIAN ANDERSON WAY,PHILADELPHIA,PA,19146,19146,,,,,,2157329505,HTTP://MARIANANDERSONHISTORICALSOCIETY.WEEBLY.COM/,,,,,,,,,,,,-75.17753,39.94032,762 S MARIAN ANDERSON WAY,PHILADELPHIA,PA,19146,19146
8404200840,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712120,LIGHTS OF LIBERTY,LIGHTS OF LIBERTY INC,,,150 SOUTH INDEPENDENCE MALL WEST NO,PHILADELPHIA,PA,19106-3413,19106,,,,,,,,201312,0,0,0,150 SOUTH INDEPENDENCE M,PHILADELPHIA,PA,199904,199904,04,1999,-75.14765,39.94998,150 SOUTH INDEPENDENCE M,PHILADELPHIA,PA,19106-3413,19106
8404200867,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,,HISTORICAL SOCIETY OF TACONY,HISTORICAL SOCIETY OF TACONY,,,4819 LONGSHORE AVENUE 2ND FLR,PHILADELPHIA,PA,19135-2333,19135,,,,,,2153382575,HTTP://WWW.HISTORICTACONY.ORG/,201312,3,95222,95222,4819 LONGSHORE AVE,PHILADELPHIA,PA,200103,200103,03,2001,-75.04164,40.02438,4819 LONGSHORE AVE,PHILADELPHIA,PA,19135-2333,19135
8404200891,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A50,,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,,,6245 RIDGE AVENUE,PHILADELPHIA,PA,19128,19128,,,,,,2156852550,,201412,0,0,0,6245 RIDGE AVE,PHILADELPHIA,PA,200912,200912,12,2009,-75.21752,40.03651,6245 RIDGE AVE,PHILADELPHIA,PA,19128-2630,19128
8404200931,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,GERMANTOWN HISTORICAL SOCIETY,GERMANTOWN HISTORICAL SOCIETY,,,5501 GERMANTOWN AVE,PHILADELPHIA,PA,19144,19144,,,,,,2158440514,HTTP://WWW.GERMANTOWNHISTORY.ORG,201312,3,38144,38144,5501-5505 GERMANTOWN AVE,PHILADELPHIA,PA,194808,194808,08,1948,-75.17196,40.03417,5501-5505 GERMANTOWN AVE,PHILADELPHIA,PA,19144-0000,19144
8404200932,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,710000,SWEDISH COLONIAL SOCIETY,SWEDISH COLONIAL SOCIETY,,,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,19147,,,,,,2153891513,HTTPS://COLONIALSWEDES.NET/CONTACT-US/,201312,3,42417,23960,916 S SWANSON ST,PHILADELPHIA,PA,195911,195911,11,1959,-75.14338,39.93483,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,19147
8404200933,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,PHILADELPHIA SOCIETY FOR THE PRESERVATION OF LANDMARKS,,321 S 4TH ST,PHILADELPHIA,PA,19106-4218,19106,,,,,,2159252251,HTTP://WWW.BELLMUSEUM.UMN.EDU/,201309,6,1410391,1355777,321 S 4TH ST,PHILADELPHIA,PA,193205,193205,05,1932,-75.14847,39.94442,321 S 4TH ST,PHILADELPHIA,PA,19106-4218,19106
8404200934,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,AMERICAN CATHOLIC HISTORICAL SOCIETY,AMERICAN CATHOLIC HISTORICAL SOCIETY OF PHILADELPHIA,,AMERICAN CATHOLIC HISTORICAL SOCIETY OF PHILADELPHIA,263 S 4TH ST,PHILADELPHIA,PA,19106-3819,19106,,,,,,2159255752,HTTP://WWW.AMCHS.ORG,201312,4,126963,91105,263 S 4TH ST,PHILADELPHIA,PA,196007,196007,07,1960,-75.14827,39.9453,263 S 4TH ST,PHILADELPHIA,PA,19106-3819,19106
8404200942,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,HISTORICAL SOCIETY OF FRANKFORD,HISTORICAL SOCIETY OF FRANKFORD,HISTORICAL SOCIETY OF FRANKFORD,,1507 ORTHODOX ST,PHILADELPHIA,PA,19124-3605,19124,,,,,,2157436030,HTTP://THEHISTORICALSOCIETYOFFRANKFORD.ORG,201312,2,10097,,1507 ORTHODOX ST,PHILADELPHIA,PA,195806,195806,06,1958,-75.0867,40.01565,1507 ORTHODOX ST,PHILADELPHIA,PA,19124-3605,19124
8404201046,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,712190,JOHN BARTRAM ASSOCIATION,JOHN BARTRAM ASSOCIATION,,,54TH & LINDBERGH BLVD,PHILADELPHIA,PA,19143,19143,,,,,,2157295281,HTTP://BARTRAMSGARDEN.ORG/,201406,6,1749922,1396052,54TH LINDBERGH BLVD,PHILADELPHIA,PA,197502,197502,02,1975,-75.22507,39.94557,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,19143
8404201384,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,712120,PHILADELPHIA FOUNTAIN SOCIETY,PHILADELPHIA FOUNTAIN SOCIETY,,,255 S 7TH ST,PHILADELPHIA,PA,19106-4135,19106,,,,,,,,201312,5,861873,4169,255 S 7TH ST,PHILADELPHIA,PA,200202,200202,02,2002,-75.15301,39.94587,255 S 7TH ST,PHILADELPHIA,PA,19106-4135,19106
8404201428,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A50,710000,PHILADLEPHIA ASSOCIATION OF BLACK SPORTS AND CULTURE,PHILADELPHIA ASSOCIATION OF BLACK SPORTS & CULTURE,,PHILADELPHIA ASSOCIATION OF BLACK SPORTS & CULTURE,1732 SUMNEYTOWN PI,LOWER GWYNED,PA,19002-1200,19002,,,,,,,HTTP://PHILA-BLACK-SPORTS.ORG/,201412,0,0,0,27600,PHILADELPHIA,PA,201302,201302,02,2013,-75.20317,40.07268,27600,PHILADELPHIA,PA,19118-0000,19118
8404201477,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A80,813311,OVERSEAS CHINA ANTIQUE PROTECTION ASSOCIATION,OVERSEAS CHINA ANTIQUE PROTECTION ASSOCIATION,,,110 S 20TH STREET 1ST FLOOR,PHILADELPHIA,PA,19103-4486,19103,,,,,,,,201212,0,0,0,110 S 20TH STREET 1ST FL,PHILADELPHIA,PA,201108,201108,08,2011,-75.17382,39.95161,110 S 20TH STREET 1ST FL,PHILADELPHIA,PA,19103-4486,19103
8404201501,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,A82,,FIRST TROOP PHILADELPHIA CITY CAVALRY,FIRST TROOP PHILADELPHIA CITY CAVALRY MILITARY HERITAGE AND,,FIRST TROOP PHILADELPHIA CITY CAVALRY MILITARY HERITAGE AND,22 S 23RD ST,PHILADELPHIA,PA,19103-3004,19103,,,,,,,,201312,4,225938,220118,22 S 23RD ST,PHILADELPHIA,PA,201107,201107,07,2011,-75.17855,39.95325,22 S 23RD ST,PHILADELPHIA,PA,19103-3004,19103
