objectid,subject,format,filename,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,title,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IRS990_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8404200176,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,,,HISTORICAL SOCIETY OF PENNSLYVANIA,HISTORICAL SOCIETY OF PENNSLYVANIA,,,1300 LOCUST STREET,PHILADELPHIA,PA,1910,1910,,,,,,2157326200,,,,,,,,,,,,,,,-75.16272,39.94772,2,2,1,42,101,1300 LOCUST STREET,PHILADELPHIA,PA,1910,1910,0,0,1,0,0,0,0,0,
8404200178,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232223316,,A23,,710000,JAPANESE HOUSE AND GARDEN,FRIENDS OF THE JAPANESE HOUSE AND GARDEN,,SHOFUSO JAPANESE HOUSE AND GARDEN,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,2158785097,HTTP://WWW.JAPANESEHOUSE.ORG,FRIENDS OF THE JAPANESE HOUSE AND GARDEN,201312,4,239591,231476,5070 PARKSIDE AVENUE SUI,PHILADELPHIA,PA,198306,,,,,-75.21948,39.98278,2,2,1,42,101,4700 STATES DRIVE,PHILADELPHIA,PA,19131,19131,1,0,1,0,0,0,0,0,
8404200187,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,,,FOUNDER'S HALL-STEPHEN GIRARD COLLECTION,FOUNDER'S HALL-STEPHEN GIRARD COLLECTION,,,2101 S COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,2101 SOUTH COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,2157872600,HTTP://WWW.GIRARDCOLLEGE.EDU/PAGE.CFM?P=1,,,,,,,,,,,,,,-75.17119,39.97523,2,2,1,42,101,2101 SOUTH COLLEGE AVENUE,PHILADELPHIA,PA,19121,19121,0,0,1,0,0,0,0,0,
8404200212,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,237393771,,,131089666,712190,HISTORIC BARTRAM'S GARDEN,JOHN BARTRAM ASSOCIATION,,,54TH STREET AND LINDBERGH BOULEVARD,PHILADELPHIA,PA,19143,19143,,,,,,2157295281,HTTP://BARTRAMSGARDEN.ORG/,JOHN BARTRAM ASSOCIATION,201406,6,1749922,1396052,54TH LINDBERGH BLVD,PHILADELPHIA,PA,197502,,,,,-75.22507,39.94557,2,2,1,42,,54TH LINDBERGH BLVD,PHILADELPHIA,PA,19143-0000,19143,1,0,1,0,0,0,0,0,
8404200221,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,,,ELFRETH'S ALLEY ASSOCIATION,ELFRETH'S ALLEY ASSOCIATION,,,126 ELFRETHS ALLEY,PHILADELPHIA,PA,19106,19106,,,,,,2155740560,,,,,,,,,,,,,,,-75.14228,39.95263,2,2,1,42,101,126 ELFRETHS ALLEY,PHILADELPHIA,PA,19106,19106,0,0,1,0,0,0,0,0,
8404200247,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,,,CARPENTER'S HALL,CARPENTER'S HALL,,,320 CHESTNUT STREET,PHILADELPHIA,PA,19106,19106,,,,,,2159250167,,,,,,,,,,,,,,,-75.14635,39.94858,2,2,1,42,101,320 CHESTNUT STREET,PHILADELPHIA,PA,19106,19106,0,0,1,0,0,0,0,0,
8404200267,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,,,,,,AMERICAN SWEDISH HISTORICAL MUSEUM,AMERICAN SWEDISH HISTORICAL MUSEUM,,,1900 PATTISON AVENUE,PHILADELPHIA,PA,19145,19145,,,,,,2153891776,,,,,,,,,,,,,,,-75.18187,39.90633,2,2,1,42,101,1900 PATTISON AVENUE,PHILADELPHIA,PA,19145,19145,0,0,1,0,0,0,0,0,
8404200310,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,50556629,,A80,,712120,RED MONASTERY PROJECT,RED MONASTERY PROJECT INC,,,10 S LETITIA ST 203,PHILADELPHIA,PA,19106-3025,19106,,,,,,,,RED MONASTERY PROJECT INC,201312,2,11456,11456,10 SOUTH LETITIA ST APT,PHILADELPHIA,PA,200709,,,,,-75.14327,39.94937,2,2,1,42,101,10 SOUTH LETITIA ST APT,PHILADELPHIA,PA,19106-3025,19106,1,1,0,0,0,0,0,0,
8404200397,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,222440246,,A82,,,OLDE FORT MIFFLIN HISTORICAL SOCIETY,OLDE FORT MIFFLIN HISTORICAL SOCIETY INC,,,4335 OSAGE AVE,PHILADELPHIA,PA,19104,19104,,,,,,,,OLDE FORT MIFFLIN HISTORICAL SOCIETY INC,201406,0,0,0,4335 OSAGE AVE,PHILADELPHIA,PA,198803,,,,,-75.21002,39.95098,2,2,1,42,101,4335 OSAGE AVE,PHILADELPHIA,PA,19104-3905,19104,1,1,0,0,0,0,0,0,
8404200413,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,222652936,,A80,,712120,DESHLER MORRIS HOUSE,DESHLER MORRIS HOUSE COMMITTEE INC,,,5442 GERMANTOWN AVENUE,PHILADELPHIA,PA,19144-2224,19144,,,,,,,,DESHLER MORRIS HOUSE COMMITTEE INC,201312,0,0,0,5442 GERMANTOWN AVE,PHILADELPHIA,PA,201201,,,,,-75.17284,40.03407,2,2,1,42,101,5442 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2224,19144,1,1,0,0,0,0,0,0,
8404200419,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,222764509,,A82,,712120,FORT MIFFLIN ON THE DELAWARE,FORT MIFFLIN ON THE DELAWARE,,,1 FORT MIFFLIN RD,PHILADELPHIA,PA,19153-3901,19153,82 FORT MIFFLIN ROAD,PHILADELPHIA,PA,19153-3901,19153,2156854167,HTTP://WWW.FORTMIFFLIN.US/,FORT MIFFLIN ON THE DELAWARE,201311,4,241573,215722,1 FORT MIFFLIN RD,PHILADELPHIA,PA,198612,,,,,-75.21034,39.89344,2,2,1,42,101,82 FORT MIFFLIN ROAD,PHILADELPHIA,PA,19153-3901,19153,1,1,0,1,0,0,0,0,
8404200424,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,222837686,,A80,153984646,,AMERICAN WOMENS HERITAGE SOCIETY,AMERICAN WOMENS HERITAGE SOCIETY,,,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,19131,,,,,,,HTTP://WWW.BELMONTMANSION.ORG,AMERICAN WOMENS HERITAGE SOCIETY,201306,4,123240,123240,2000 BELMONT MANSION DR,PHILADELPHIA,PA,198803,,,,,-75.21289,39.99183,2,2,1,42,101,2000 BELMONT MANSION DR,PHILADELPHIA,PA,19131-3713,19131,1,1,1,0,1,0,0,0,
8404200437,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,231352322,,A82,83243048,,HISTORICAL SOCIETY OF PENNSYLVANIA,HISTORICAL SOCIETY OF PENNSYLVANIA,HISTORICAL SOCIETY OF PENNSYLVANIA,,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,19107,,,,,,2157326200,HTTP://HSP.ORG/,HISTORICAL SOCIETY OF PENNSYLVANIA,201406,8,10143431,4300581,1300 LOCUST ST,PHILADELPHIA,PA,192812,,,,,-75.16272,39.94772,2,2,1,42,101,1300 LOCUST ST,PHILADELPHIA,PA,19107-5661,19107,1,1,0,1,1,0,0,0,
8404200449,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,231353269,,A70,75507921,813920,AMERICAN PHILOSOPHICAL SOCIETY,AMERICAN PHILOSOPHICAL SOCIETY,,,104 S 5TH ST,PHILADELPHIA,PA,19106-3387,19106,,,,,,2154403440,HTTP://WWW.APSMUSEUM.ORG,AMERICAN PHILOSOPHICAL SOCIETY,201312,8,34172009,17265388,104 S 5TH ST,PHILADELPHIA,PA,193411,,,,,-75.14928,39.94898,2,2,1,42,101,104 S 5TH ST,PHILADELPHIA,PA,19106-3309,19106,1,0,1,1,0,0,0,0,
8404200452,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,231365333,,A80,,710000,GERMAN SOCIETY OF PENNSYLVANIA,GERMAN SOCIETY OF PENNSYLVANIA,,,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,19123,,,,,,2156272332,HTTP://WWW.GERMANSOCIETY.ORG,GERMAN SOCIETY OF PENNSYLVANIA,201406,5,737594,737594,611 SPRING GARDEN ST,PHILADELPHIA,PA,194607,,,,,-75.14833,39.96151,2,2,1,42,101,611 SPRING GARDEN ST,PHILADELPHIA,PA,19123-3505,19123,1,1,0,0,1,0,0,0,
8404200460,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,231377403,,A82,928032259,,SWEETBRIAR MANSION,MODERN CLUB OF PHILADELPHIA INC SWEETBRIER MANSION,,MODERN CLUB OF PHILADELPHIA INC SWEETBRIER MANSION,1000 CONESTOGA RD APT C264,BRYN MAWR,PA,19010-1547,19010,1 SWEETBRIAR DRIVE,PHILADELPHIA,PA,19010-1547,19010,2152221333,HTTP://WWW.SCHUYLKILLRIVER.ORG/DETAIL.ASPX?ID=535,MODERN CLUB OF PHILADELPHIA INC SWEETBRIER MANSION,201403,1,3075,3075,1000 CONESTOGA RD APT C2,BRYN MAWR,PA,194601,,,,,-75.20062,39.97655,2,2,1,42,101,1 SWEETBRIAR DRIVE,PHILADELPHIA,PA,19010-1547,19010,1,1,0,0,0,0,0,0,
8404200497,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,231884284,,A54,169407111,813110,GERMANTOWN MNNNITE HISTORIC TRUST,GERMANTOWN MENNONITE HISTORIC TRUST,,,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,19144,,,,,,2158430943,HTTP://WWW.MEETINGHOUSE.INFO/,GERMANTOWN MENNONITE HISTORIC TRUST,,0,,,6133 GERMANTOWN AVE,PHILADELPHIA,PA,198406,,,,,-75.17927,40.04163,2,2,1,42,101,6133 GERMANTOWN AVE,PHILADELPHIA,PA,19144-2046,19144,1,1,0,0,1,0,0,0,
8404200512,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,231971984,,A82,118067222,,EBENEZER MAXWELL MANSION,EBENEZER MAXWELL MANSION INC,,,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,19144,,,,,,2154381861,HTTP://EBENEZERMAXWELLMANSION.ORG/,EBENEZER MAXWELL MANSION INC,201312,0,0,0,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,197802,,,,,-75.18473,40.03689,2,2,1,42,101,200 W TULPEHOCKEN ST,PHILADELPHIA,PA,19144-3210,19144,1,1,1,0,1,0,0,0,
8404200659,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232487506,,A50,,,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,AMERICAN FLAG HOUSE AND BETSY ROSS MEMORIAL,,239 ARCH ST,PHILADELPHIA,PA,19106-1915,19106,,,,,,2156861252,HTTP://HISTORICPHILADELPHIA.ORG/BETSY-ROSS-HOUSE/WHAT-TO-SEE/,,,,,,,,,,,,,,-75.14461,39.95228,2,2,1,42,101,239 ARCH ST,PHILADELPHIA,PA,19106-1915,19106,0,0,0,0,1,0,0,0,
8404200692,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232628791,,A82,,,BRIDESBURG HISTORICAL SOCIETY,BRIDESBURG HISTORICAL SOCIETY,,,2801 BRILL STREET,PHILADELPHIA,PA,19137,19137,,,,,,2157441674,,,,,,,,,,,,,,,-75.06376,40.00311,2,2,1,42,101,2801 BRILL STREET,PHILADELPHIA,PA,19137,19137,0,1,0,1,0,0,0,0,
8404200699,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232658065,,,,813920,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS FOR THE THIRD CIRCUIT,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3R,,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3RD,615 CHESTNUT STREET PO BOX 40007,PHILADELPHIA,PA,19106,19106,,,,,,,,HISTORICAL SOCIETY OF THE UNITED STATES COURT OF APPEALS 3R,201412,0,0,0,601 MARKET STREET,PHILADELPHIA,PA,199109,,,,,-75.15037,39.95082,2,2,1,42,101,601 MARKET STREET,PHILADELPHIA,PA,19106-1729,19106,1,1,0,0,0,0,0,0,
8404200707,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232674396,,A82,,,HISTORIC ST PETERS CHURCH PRESERVATION CORP,HISTORIC ST PETERS CHURCH PRESERVATION CORP,,,313 PINE ST,PHILADELPHIA,PA,19106-4212,19106,,,,,,2159255968,HTTP://WWW.STPETERSPHILA.ORG,HISTORIC ST PETERS CHURCH PRESERVATION CORP,201312,6,1401073,1315124,313 PINE ST,PHILADELPHIA,PA,199203,,,,,-75.14769,39.94357,2,2,1,42,101,313 PINE ST,PHILADELPHIA,PA,19106-4212,19106,1,1,0,0,1,0,0,0,
8404200718,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232710697,,B99,362994167,813110,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,,,4243 LANCASTER AVENUE,PHILADELPHIA,PA,19104-1470,19104,,,,,,,,ISLAMIC CULTURAL PRESERVATION & INFORMATION COUNCIL,201312,4,110915,110915,4243 LANCASTER AVE,PHILADELPHIA,PA,199308,,,,,-75.20876,39.96744,2,2,1,42,101,4243 LANCASTER AVE,PHILADELPHIA,PA,19104-1470,19104,1,0,1,0,0,0,0,0,
8404200769,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232823485,,A80,,712120,AFRICAN AMERICAN GENEALOGY GROUP,AFRICAN AMERICAN GENEALOGY GROUP,,,PO BOX 27356,PHILADELPHIA,PA,19118-0356,19118,,,,,,2155726063,HTTP://AAGG.BLACKHOUSECOLLECTIVE.COM/BLOG/,AFRICAN AMERICAN GENEALOGY GROUP,201406,0,0,0,PO BOX 27356,PHILADELPHIA,PA,200103,,,,,-75.20317,40.07268,2,2,1,42,101,PO BOX 27356,PHILADELPHIA,PA,19118-0356,19118,1,1,0,0,0,0,0,0,
8404200785,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232860359,,A80,7983815,712110,JOHNSON HOUSE HISTORIC SITE,JOHNSON HOUSE HISTORIC SITE INC,,,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,19144,,,,,,2154381768,HTTP://WWW.JOHNSONHOUSE.ORG,JOHNSON HOUSE HISTORIC SITE INC,201312,4,104478,104478,6306 GERMANTOWN AVE,PHILADELPHIA,PA,199702,,,,,-75.18142,40.04391,2,2,1,42,101,6306 GERMANTOWN AVE,PHILADELPHIA,PA,19144-1908,19144,1,1,1,0,1,0,0,0,
8404200818,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232933902,,A82,,,MARIAN ANDERSON HISTORICAL SOCIETY,MARIAN ANDERSON HISTORICAL SOCIETY,,,762 S MARIAN ANDERSON WAY,PHILADELPHIA,PA,19146,19146,,,,,,2157329505,HTTP://MARIANANDERSONHISTORICALSOCIETY.WEEBLY.COM/,,,,,,,,,,,,,,-75.17753,39.94032,2,2,1,42,,762 S MARIAN ANDERSON WAY,PHILADELPHIA,PA,19146,19146,0,1,0,0,0,0,0,0,
8404200840,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,232977267,,A80,,712120,LIGHTS OF LIBERTY,LIGHTS OF LIBERTY INC,,,150 SOUTH INDEPENDENCE MALL WEST NO,PHILADELPHIA,PA,19106-3413,19106,,,,,,,,LIGHTS OF LIBERTY INC,201312,0,0,0,150 SOUTH INDEPENDENCE M,PHILADELPHIA,PA,199904,,,,,-75.14765,39.94998,2,2,1,42,101,150 SOUTH INDEPENDENCE M,PHILADELPHIA,PA,19106-3413,19106,1,1,1,1,1,0,0,0,
8404200867,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,233017534,,A80,,,HISTORICAL SOCIETY OF TACONY,HISTORICAL SOCIETY OF TACONY,,,4819 LONGSHORE AVENUE 2ND FLR,PHILADELPHIA,PA,19135-2333,19135,,,,,,2153382575,HTTP://WWW.HISTORICTACONY.ORG/,HISTORICAL SOCIETY OF TACONY,201312,3,95222,95222,4819 LONGSHORE AVE,PHILADELPHIA,PA,200103,,,,,-75.04164,40.02438,2,2,1,42,101,4819 LONGSHORE AVE,PHILADELPHIA,PA,19135-2333,19135,1,1,0,0,1,0,0,0,
8404200891,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,233060216,,A50,,,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,,,6245 RIDGE AVENUE,PHILADELPHIA,PA,19128,19128,,,,,,2156852550,,ROXBOROUGH MANAYUNK WISSAHICKON HISTORICAL SOCIETY,201412,0,0,0,6245 RIDGE AVE,PHILADELPHIA,PA,200912,,,,,-75.21752,40.03651,2,2,1,42,101,6245 RIDGE AVE,PHILADELPHIA,PA,19128-2630,19128,1,1,0,0,0,0,0,0,
8404200931,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,236245780,,A82,44494797,,GERMANTOWN HISTORICAL SOCIETY,GERMANTOWN HISTORICAL SOCIETY,,,5501 GERMANTOWN AVE,PHILADELPHIA,PA,19144,19144,,,,,,2158440514,HTTP://WWW.GERMANTOWNHISTORY.ORG,GERMANTOWN HISTORICAL SOCIETY,201312,3,38144,38144,5501-5505 GERMANTOWN AVE,PHILADELPHIA,PA,194808,,,,,-75.17196,40.03417,2,2,1,42,101,5501-5505 GERMANTOWN AVE,PHILADELPHIA,PA,19144-0000,19144,1,1,1,0,1,0,0,0,
8404200932,HSC,image/jpeg,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_photographs_01.jpg,236251086,,,,710000,SWEDISH COLONIAL SOCIETY,SWEDISH COLONIAL SOCIETY,,,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,19147,,,,,,2153891513,HTTPS://COLONIALSWEDES.NET/CONTACT-US/,SWEDISH COLONIAL SOCIETY,201312,3,42417,23960,916 S SWANSON ST,PHILADELPHIA,PA,195911,,,,,-75.14338,39.93483,2,2,1,42,101,916 S SWANSON ST,PHILADELPHIA,PA,19147-4332,19147,1,1,0,0,0,0,0,0,
